Order ID,Record Date,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
RB-68259,2024-02-22 11:58:28,2023-11-14,2023-11-22,Express,RB-19465,Rick Bensley,Home Office,United States,Tulsa,Oklahoma,74133,Central,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",262.91,7,0.09,-8.26
RB-68259,2024-02-22 11:58:28,2023-11-14,2023-11-22,Express,RB-19465,Rick Bensley,Home Office,United States,Tulsa,Oklahoma,74133,Central,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",442.97,5,0.07,17.01
RB-68259,2024-02-22 11:58:28,2023-11-14,2023-11-22,Express,RB-19465,Rick Bensley,Home Office,United States,Tulsa,Oklahoma,74133,Central,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,290.32,5,0.12,-11.91
KD-80532,2024-02-22 11:58:28,2023-05-31,2023-06-05,Standard,KD-16615,Ken Dana,Corporate,United States,New York City,New York,10024,East,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,214.31,4,0.11,-4.74
KD-80532,2024-02-22 11:58:28,2023-05-31,2023-06-05,Standard,KD-16615,Ken Dana,Corporate,United States,New York City,New York,10024,East,OFF-SU-10004661,Office Supplies,Supplies,Acme Titanium Bonded Scissors,470.84,1,0.03,-4.47
NK-42040,2024-02-22 11:58:28,2023-10-08,2023-10-12,Express,NK-18490,Neil Knudson,Home Office,United States,Corpus Christi,Texas,78415,Central,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,424.68,6,0.04,-14.23
NK-42040,2024-02-22 11:58:28,2023-10-08,2023-10-12,Express,NK-18490,Neil Knudson,Home Office,United States,Corpus Christi,Texas,78415,Central,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,482.2,6,0.1,-19.94
RA-00822,2024-02-22 11:58:28,2024-01-05,2024-01-06,Express,RA-19945,Ryan Akin,Consumer,United States,Miami,Florida,33178,South,OFF-PA-10000726,Office Supplies,Paper,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",476.45,3,0.04,-16.06
SC-80252,2024-02-22 11:58:28,2023-08-23,2023-09-01,Express,SC-20020,Sam Craven,Consumer,United States,Plano,Texas,75023,Central,OFF-PA-10000575,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",308.92,7,0.19,2.44
SC-80252,2024-02-22 11:58:28,2023-08-23,2023-09-01,Express,SC-20020,Sam Craven,Consumer,United States,Plano,Texas,75023,Central,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,413.43,6,0.03,-0.16
SC-80252,2024-02-22 11:58:28,2023-08-23,2023-09-01,Express,SC-20020,Sam Craven,Consumer,United States,Plano,Texas,75023,Central,TEC-PH-10002185,Technology,Phones,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,403.8,4,0.12,5.72
SC-80252,2024-02-22 11:58:28,2023-08-23,2023-09-01,Express,SC-20020,Sam Craven,Consumer,United States,Plano,Texas,75023,Central,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",261.01,5,0.18,5.72
SC-80252,2024-02-22 11:58:28,2023-08-23,2023-09-01,Express,SC-20020,Sam Craven,Consumer,United States,Plano,Texas,75023,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,374.0,1,0.12,7.73
